user,iso_score,lof_score,ensemble_rank_mean,ensemble_rank_sum,ensemble_mean_z,ensemble_mean_z_norm,label,fold
MIC0726,-0.1794697701043219,-0.2432951449401375,0.3388888888888889,0.3388888888888889,-0.5539414237357282,0.10282209054137505,0,1
WVB0539,-0.17573418666902613,-0.2261052303169917,0.41944444444444445,0.41944444444444445,-0.43759605075982844,0.1315197134520189,0,1
ANP0555,-0.17225691549322847,-0.21456544752986395,0.49722222222222223,0.49722222222222223,-0.3519349312613774,0.15264879183813887,0,1
KJW0416,-0.15068951232187894,-0.21717601735950298,0.5722222222222222,0.5722222222222222,-0.1970715271089793,0.19084723034368004,0,1
AHM0410,-0.13715056628206007,-0.1996763814036302,0.6777777777777778,0.6777777777777778,-0.0027407298108656844,0.23878065303287663,0,1
WPR0368,0.0788489985298062,-0.20758811069240712,0.7916666666666667,0.7916666666666667,1.6407534663352452,0.644163140453349,0,1
IMG0320,-0.1504039979137064,-0.1585098870147852,0.7083333333333334,0.7083333333333334,0.10284698852084,0.26482480457215823,0,1
BAJ0654,-0.06990370755174691,0.13783768108792072,0.925,0.925,2.2340927020875636,0.7905155497514547,0,1
AAE0190,-0.14358692959397779,-0.1772878878818116,0.7055555555555555,0.7055555555555555,0.06069732931697765,0.25442821556560485,0,1
FEB0306,-0.1813561962873952,-0.23659913408148747,0.35833333333333334,0.35833333333333334,-0.5346674911517704,0.10757617774872938,0,1
TDS0984,-0.028536028258867696,-0.17238142714318294,0.85,0.85,0.9823760605261106,0.48176848700449854,0,1
HSG0818,-0.1511915928501542,-0.2476435698876045,0.41944444444444445,0.41944444444444445,-0.3555883813050519,0.15174763583172027,0,1
IAR0694,-0.06069333046568226,0.2027334266201326,0.9361111111111111,0.9361111111111111,2.6351887110789782,0.889449454234138,0,1
HCC0344,-0.16433792479578802,-0.19697756066682892,0.586111111111111,0.586111111111111,-0.20096190585673385,0.18988763376130657,0,1
HIA0414,-0.21138906480192254,-0.2729594611649315,0.01388888888888889,0.01388888888888889,-0.9532685779348282,0.004324489854151139,0,1
DGN0480,-0.1813704410063417,-0.26417659751957223,0.2138888888888889,0.2138888888888889,-0.6747164848570897,0.07303184558003269,0,1
